File,Location,Pass(Y/N),Error,ErrorLocation,Row,Column
TMVEH.xml,/Users/beth/Desktop/maven/wwwxmlverifier/webapps/usrFiles/TMVEH.xml,N,Invalid File location,N/A,N/A,N/A
TMVEH.xml,/Users/beth/Desktop/maven/wwwxmlverifier/webapps/usrFiles/TMVEH.xml,Y,N/A,N/A,N/A,N/A
